"latitude","longitude","country","country_code","year","value","score","gdp","support","life_expectancy","freedom","trust","generosity"
60.472024,8.468946,"Norway","NOR",2016,28.5,7.498,1.57744,1.1269,0.79579,0.59609,"0.35776",0.37895
8.537981,-80.782127,"Panama","PAN",2016,50.4,6.701,1.18306,0.98912,0.70835,0.48927,"0.08423",0.2418
-9.189967,-75.015152,"Peru","PER",2016,43.6,5.743,0.99602,0.81255,0.62994,0.37502,"0.05292",0.14527
51.919438,19.145136,"Poland","POL",2016,31.2,5.835,1.24585,1.04685,0.69058,0.4519,"0.055",0.14443
39.399872,-8.224454,"Portugal","PRT",2016,35.2,5.123,1.27607,0.94367,0.79363,0.44727,"0.01521",0.11691
-23.442503,-58.443832,"Paraguay","PRY",2016,47.9,5.538,0.89373,1.11111,0.58295,0.46235,"0.07396",0.25296
45.943161,24.96676,"Romania","ROU",2016,34.4,5.528,1.1697,0.72803,0.67602,0.36712,"0.00679",0.12889
44.016521,21.005859,"Serbia","SRB",2016,38.8,5.177,1.03437,0.81329,0.6458,0.15718,"0.04339",0.20737
-1.940278,29.873888,"Rwanda","RWA",2016,43.7,3.515,0.32846,0.61586,0.31865,0.5432,"0.50521",0.23552
60.128161,18.643501,"Sweden","SWE",2016,29.6,7.291,1.45181,1.08764,0.83121,0.58218,"0.40867",0.38254
46.151241,14.995463,"Slovenia","SVN",2016,24.8,5.768,1.29947,1.05613,0.79151,0.53164,"0.03635",0.25738
13.794185,-88.89653,"El Salvador","SLV",2016,40,6.068,0.8737,0.80975,0.596,0.37269,"0.10613",0.08877
15.870032,100.992541,"Thailand","THA",2016,36.9,6.474,1.0893,1.04477,0.64915,0.49553,"0.02833",0.58696
48.379433,31.16558,"Ukraine","UKR",2016,25,4.324,0.87287,1.01413,0.58628,0.12859,"0.01829",0.20363
1.373333,32.290275,"Uganda","UGA",2016,42.8,3.739,0.34719,0.90981,0.19625,0.43653,"0.06442",0.27102
37.09024,-95.712891,"United States","USA",2016,41.1,7.104,1.50796,1.04782,0.779,0.48163,"0.14868",0.41077
-32.522779,-55.765835,"Uruguay","URY",2016,39.7,6.545,1.18157,1.03143,0.72183,0.54388,"0.21394",0.18056
14.058324,108.277199,"Vietnam","VNM",2016,35.3,5.061,0.74037,0.79117,0.66157,0.55954,"0.11556",0.25075
42.602636,20.902977,"Kosovo","XKX",2016,26.7,5.401,0.90145,0.66062,0.54,0.14396,"0.06547",0.27992
41.153332,20.168331,"Albania","ALB",2017,33.1,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,"0.201312944293022",0.0398642159998417
40.069099,45.038189,"Armenia","ARM",2017,33.6,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,"0.0834880918264389",0.0266744215041399
-38.416097,-63.616672,"Argentina","ARG",2017,41.1,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,"0.109457060694695",0.059739887714386
47.516231,14.550072,"Austria","AUT",2017,29.7,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,"0.316472321748734",0.221060365438461
50.503887,4.469936,"Belgium","BEL",2017,27.4,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,"0.231503337621689",0.251343131065369
42.733883,25.48583,"Bulgaria","BGR",2017,40.4,4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,"0.113177694380283",0.0110515309497714
